,CohortMonth,CohortIndex,bp_id
872,2020-06-01,42,1
873,2020-06-01,43,1
874,2020-06-01,47,1
875,2020-06-01,49,2
876,2020-06-01,50,2
877,2020-06-01,51,1
878,2020-06-01,52,1
879,2020-07-01,1,2
880,2020-07-01,2,1
881,2020-07-01,4,2
882,2020-07-01,5,1
883,2020-07-01,6,1
884,2020-07-01,7,1
885,2020-07-01,8,1
886,2020-07-01,9,1
887,2020-07-01,10,2
888,2020-07-01,11,1
889,2020-07-01,12,1
890,2020-07-01,13,1
891,2020-07-01,15,1
892,2020-07-01,16,1
893,2020-07-01,17,1
894,2020-07-01,18,1
895,2020-07-01,19,1
896,2020-07-01,20,1
897,2020-07-01,21,1
898,2020-07-01,22,1
899,2020-07-01,23,1
900,2020-07-01,24,1
901,2020-07-01,25,1
902,2020-07-01,26,1
903,2020-07-01,27,1
904,2020-07-01,28,1
905,2020-07-01,29,1
906,2020-07-01,30,1
907,2020-07-01,31,1
908,2020-07-01,32,1
909,2020-07-01,33,1
910,2020-07-01,34,1
911,2020-07-01,36,1
912,2020-07-01,37,1
913,2020-07-01,38,1
914,2020-07-01,39,1
915,2020-07-01,40,1
916,2020-07-01,41,1
917,2020-07-01,42,1
918,2020-08-01,1,4
919,2020-08-01,3,2
920,2020-08-01,5,1
921,2020-08-01,6,1
922,2020-08-01,8,1
923,2020-08-01,10,1
924,2020-08-01,12,1
925,2020-08-01,13,1
926,2020-08-01,15,1
927,2020-08-01,16,1
928,2020-08-01,17,1
929,2020-08-01,18,1
930,2020-08-01,19,1
931,2020-08-01,21,1
932,2020-08-01,22,1
933,2020-08-01,24,1
934,2020-08-01,25,1
935,2020-08-01,27,1
936,2020-08-01,36,1
937,2020-08-01,37,1
938,2020-08-01,38,1
939,2020-09-01,1,5
940,2020-09-01,2,1
941,2020-09-01,5,1
942,2020-09-01,6,1
943,2020-09-01,7,1
944,2020-09-01,9,1
945,2020-09-01,11,1
946,2020-09-01,18,1
947,2020-09-01,22,1
948,2020-09-01,23,1
949,2020-09-01,26,1
950,2020-09-01,32,2
951,2020-09-01,33,2
952,2020-09-01,35,1
953,2020-09-01,36,1
954,2020-09-01,41,1
955,2020-09-01,43,1
956,2020-09-01,44,2
957,2020-09-01,47,1
958,2020-09-01,48,1
959,2020-10-01,1,4
960,2020-10-01,2,2
961,2020-10-01,3,1
962,2020-10-01,4,1
963,2020-10-01,5,2
964,2020-10-01,6,1
965,2020-10-01,7,1
966,2020-10-01,8,3
967,2020-10-01,9,2
968,2020-10-01,10,2
969,2020-10-01,11,2
970,2020-10-01,12,3
971,2020-10-01,13,1
972,2020-10-01,14,2
973,2020-10-01,15,1
974,2020-10-01,16,2
975,2020-10-01,17,1
976,2020-10-01,19,1
977,2020-10-01,20,2
978,2020-10-01,21,2
979,2020-10-01,22,1
980,2020-10-01,23,2
981,2020-10-01,24,2
982,2020-10-01,26,2
983,2020-10-01,29,1
984,2020-10-01,36,1
985,2020-10-01,37,1
986,2020-10-01,38,1
987,2020-11-01,1,1
988,2020-11-01,6,1
989,2020-11-01,7,1
990,2020-11-01,16,1
991,2020-11-01,31,1
992,2020-11-01,33,1
993,2020-11-01,34,1
994,2020-11-01,36,1
995,2020-11-01,45,1
996,2020-11-01,46,1
997,2020-12-01,1,10
998,2020-12-01,2,5
999,2020-12-01,3,6
1000,2020-12-01,4,5
1001,2020-12-01,5,7
1002,2020-12-01,6,7
1003,2020-12-01,7,6
1004,2020-12-01,8,8
1005,2020-12-01,9,6
1006,2020-12-01,10,6
1007,2020-12-01,11,5
1008,2020-12-01,12,7
1009,2020-12-01,13,4
1010,2020-12-01,14,3
1011,2020-12-01,15,6
1012,2020-12-01,16,5
1013,2020-12-01,17,8
1014,2020-12-01,18,7
1015,2020-12-01,19,6
1016,2020-12-01,20,8
1017,2020-12-01,21,7
1018,2020-12-01,22,7
1019,2020-12-01,23,7
1020,2020-12-01,24,5
1021,2020-12-01,25,9
1022,2020-12-01,26,8
1023,2020-12-01,27,8
1024,2020-12-01,28,6
1025,2020-12-01,29,6
1026,2020-12-01,30,9
1027,2020-12-01,31,8
1028,2020-12-01,32,7
1029,2020-12-01,33,6
1030,2020-12-01,34,5
1031,2020-12-01,35,3
1032,2020-12-01,36,4
1033,2020-12-01,37,4
1034,2020-12-01,38,5
1035,2020-12-01,39,6
1036,2020-12-01,40,3
1037,2020-12-01,41,4
1038,2020-12-01,42,4
1039,2020-12-01,43,4
1040,2020-12-01,44,4
1041,2020-12-01,45,3
1042,2020-12-01,46,4
1043,2021-01-01,1,4
1044,2021-01-01,3,1
1045,2021-01-01,4,1
1046,2021-01-01,5,1
1047,2021-01-01,6,1
1048,2021-01-01,7,1
1049,2021-01-01,8,1
1050,2021-01-01,9,1
1051,2021-01-01,10,1
1052,2021-01-01,11,1
1053,2021-01-01,12,2
1054,2021-01-01,13,1
1055,2021-01-01,14,2
1056,2021-01-01,15,2
1057,2021-01-01,16,3
1058,2021-01-01,17,3
1059,2021-01-01,18,1
1060,2021-01-01,19,1
1061,2021-01-01,20,1
1062,2021-01-01,21,1
1063,2021-01-01,22,1
